CODIGO;DESCRICAO;DURACAO;PARCELAS;N_HORAS;EXERVIRTUAIS;QTD_APOSTILA;ATIVO;VALOR;REQUERAPOSTILA;POSEST;STATUSEST;QTD_APOSTILA_DIG;CANCELADOFRANQUEADORA;INCLUSAO;IMAGEM;OCULTO;MAPAKIDS;HORASCURSO;LINKINDICE
147;MATEMÁTICA FINANCEIRA COM HP 12 C 2.0;2;2;15;N;1;S;;1;N;N;27;N;S;ONLINE;N;N;15;
148;PROPAGANDA E MARKETING 2.0;2;2;17;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;17;
149;ADMINISTRAÇÃO FINANCEIRA 2.0;2;2;16;N;1;S;;1;N;N;48;N;S;ONLINE;N;N;16;
150;SECRETARIADO 2.0;2;2;22;N;0;S;;1;N;N;9;N;S;ONLINE;N;N;22;
151;CONTABILIDADE COM ESCRITA FISCAL 2.0;2;2;12;N;1;S;;1;N;N;37;N;S;ONLINE;N;N;12;
152;QUICK ENGLISH;2;2;42;N;0;S;;1;N;N;28;N;S;ONLINE;N;N;42;
153;EXCEL 2013 KIDS;2;2;10;N;0;S;;1;S;N;55;N;S;ONLINE;N;N;10;
154;POWERPOINT 2013 KIDS;2;2;10;N;0;S;;1;S;N;32;N;S;ONLINE;N;N;10;
155;WORD 2013 KIDS;2;2;10;N;0;S;;1;S;N;41;N;S;ONLINE;N;N;10;
156;WINDOWS 8.1 KIDS;2;2;12;N;0;S;;1;N;N;14;N;S;ONLINE;N;N;12;
157;EXCEL 2013 MELHOR IDADE;2;2;10;N;0;S;;1;S;N;15;N;S;ONLINE;N;N;10;
158;POWERPOINT 2013 MELHOR IDADE;2;2;10;N;0;S;;1;S;N;15;N;S;ONLINE;N;N;10;
159;WORD 2013 MELHOR IDADE;2;2;10;N;0;S;;1;S;N;15;N;S;ONLINE;N;N;10;
160;WINDOWS 8.1 MELHOR IDADE;2;2;12;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;12;
161;EXCEL 2013 AVANÇADO;2;2;21;N;0;S;;1;S;N;49;N;S;ONLINE;N;N;21;
162;SKETCHUP;2;2;14;N;0;S;;1;S;N;17;N;S;ONLINE;N;N;14;
163;ILLUSTRATOR CS6;2;2;18;N;0;S;;1;S;N;26;N;S;ONLINE;N;N;18;
164;MEU NOVO EMPREGO MOD I;2;2;7;N;0;S;;1;N;N;2;N;S;ONLINE;N;N;7;
165;MEU NOVO EMPREGO MOD II;2;2;22;N;0;S;;1;N;N;1;N;S;ONLINE;N;N;22;
166;EMPREENDEDORISMO MOD I;2;2;5;N;0;S;;1;N;N;19;N;S;ONLINE;N;N;5;
167;EMPREENDEDORISMO MOD II;2;2;7;N;1;S;;1;N;N;19;N;S;ONLINE;N;N;7;
168;EMPREENDEDORISMO MOD III;2;2;8;N;1;S;;1;N;N;19;N;S;ONLINE;N;N;8;
169;EMPREENDEDORISMO MOD IV;2;2;10;N;0;S;;1;N;N;19;N;S;ONLINE;N;N;10;
170;NOVA METODOLOGIA;2;2;1;N;0;S;;0;N;N;5;N;S;ONLINE;N;N;1;
171;PROJETO CONCLUSÃO - MEU NOVO EMPREGO;2;2;1;N;0;S;;0;N;N;3;N;S;ONLINE;N;N;1;
172;PROJETO CONCLUSÃO - EMPREENDEDORISMO;2;2;1;N;0;S;;0;N;N;2;N;S;ONLINE;N;N;1;
173;TREINAMENTO - MANUAIS ON BYTE;2;2;5;N;0;S;;0;N;N;0;N;S;ONLINE;N;N;5;
174;CURSO MEU EMPREGO GRÁTIS;2;2;3;N;0;S;;0;N;N;5;N;S;ONLINE;N;N;3;
175;KIDS GRÁTIS;2;2;3;N;0;S;;0;N;N;0;N;S;ONLINE;N;N;3;
176;JOVENS GRÁTIS;2;2;3;N;0;S;;0;N;N;5;N;S;ONLINE;N;N;3;
177;EXCEL GRÁTIS;2;2;3;N;0;S;;0;N;N;20;N;S;ONLINE;N;N;3;
178;WINDOWS GRÁTIS;2;2;3;N;0;S;;0;N;N;0;N;S;ONLINE;N;N;3;
179;WINDOWS 10;2;2;17;N;0;S;;1;N;N;7;N;S;ONLINE;N;N;17;
180;GAMES MÓDULO I - HTML + ANDROID;2;2;13;N;0;S;;1;N;N;13;N;S;ONLINE;N;N;13;
181;GAMES MÓDULO II - UNITY;2;2;14;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;14;
182;PROGRAMADOR MOBILE - ANDROID;2;2;14;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;14;
183;JAVA WEB;2;2;18;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;18;
184;SUPER GÊNIO DA MATEMÁTICA 3º ANO;2;2;48;N;0;N;;1;N;N;5;N;S;KIDS;S;S;48;
185;SUPER GÊNIO DA L. PORTUGUESA 3º ANO;2;2;48;N;0;N;;1;N;N;10;N;S;KIDS;S;S;48;
186;FORMAÇÃO DE PREÇO PARA COMÉRCIO;2;2;5;S;0;S;;1;N;N;5;N;S;ONLINE;N;N;5;
187;ALONGAMENTO DE CÍLIOS;2;2;20;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;20;
188;AUTO MAQUIAGEM;2;2;30;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;30;
189;DEPILAÇÃO;2;2;24;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;24;
190;DESIGN DE SOBRANCELHAS;2;2;30;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;30;
193;WORD 2016;2;2;16;N;0;S;;1;N;N;22;N;S;ONLINE;N;N;16;
194;EXCEL 2016;2;2;14;N;0;S;;1;N;N;19;N;S;ONLINE;N;N;14;
195;POWERPOINT 2016;2;2;14;N;0;S;;1;N;N;16;N;S;ONLINE;N;N;14;
196;INTERNET 11;2;2;13;N;0;S;;1;N;N;4;N;S;ONLINE;N;N;13;
197;WINDOWS 10 KIDS;2;2;19;N;0;S;;1;N;N;9;N;S;KIDS;N;S;17;
198;WORD 2016 KIDS;2;2;19;N;0;S;;1;N;N;10;N;S;KIDS;N;S;13;
199;EXCEL 2016 KIDS;2;2;18;N;0;S;;1;N;N;10;N;S;KIDS;N;S;13;
200;POWERPOINT 2016 KIDS;2;2;20;N;0;S;;1;N;N;10;N;S;KIDS;N;S;13;
201;INTERNET 11 KIDS;2;2;20;N;0;S;;1;N;N;33;N;S;KIDS;N;S;13;
202;YOUTUBER (somente apostila);2;2;15;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;15;
203;SUPER GÊNIO DA L. PORTUGUESA 4º ANO;2;2;48;N;0;N;;1;N;N;10;N;S;KIDS;S;S;48;../indice/Portugues.html
204;SUPER GÊNIO DA MATEMÁTICA 4º ANO;2;2;48;N;0;N;;1;N;N;5;N;S;KIDS;S;S;48;../indice/Matematica.html
205;AUTO CAD MÓDULO I 2018;2;2;36;N;0;S;;1;N;N;29;N;S;ONLINE;N;N;18;../indice/AutoCADI.html
206;AUTO CAD MÓDULO II 2018;2;2;34;N;0;S;;1;N;N;30;N;S;ONLINE;N;N;17;../indice/AutoCADII.html
207;REVIT 2018;2;2;38;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;19;../indice/REVIT.html
208;INDESIGN CC 2018;2;2;32;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;16;../indice/InDesign.html
209;CORELDRAW 2017;2;2;32;N;0;S;;1;N;N;20;N;S;ONLINE;N;N;16;../indice/corel.html
210;3D STUDIO MÓDULO I 2018;2;2;36;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;18;../indice/3DStudioMaxI.html
211;PHOTOSHOP CC 2018;2;2;36;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;18;../indice/Photoshop.html
212;ILLUSTRATOR CC 2018;2;2;32;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;../indice/Illustrator.html
213;AFTER EFFECTS CC 2018;2;2;32;N;0;S;;1;N;N;9;N;S;ONLINE;N;N;16;../indice/After.html
214;ATENDENTE DE FARMÁCIA 2.0;2;2;32;N;0;S;;1;N;N;40;N;S;ONLINE;N;N;16;../indice/AtendentedeFarmacia.html
215;ROBÓTICA KIDS;2;2;36;N;0;S;;1;N;N;5;N;S;KIDS;N;S;18;../indice/Robotica.html
216;YOUTUBER;2;2;20;N;0;S;;1;N;N;7;N;S;ONLINE;N;N;10;../indice/Youtuber.html
217;3D STUDIO MÓDULO II 2018;2;2;36;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;18;../indice/3DStudioMaxII.html
218;PREMIERE PRO CC;2;2;32;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;16;../indice/PremiereProCC.html
219;MARKETING DIGITAL;2;2;32;N;0;S;;1;N;N;13;N;S;ONLINE;N;N;16;../indice/MarketingDigital.html
220;DIGITACÃO 2.0;2;2;43;N;0;S;;0;N;N;10;N;S;ONLINE;N;N;16;
